user_id,group,signup_date,signup_day,activated_30d,time_to_activate_days,session_count
C-00001,control,2026-01-12,6,0,,2
C-00002,control,2026-01-25,19,0,,3
C-00003,control,2026-01-20,14,1,6.0,10
C-00004,control,2026-01-16,10,0,,5
C-00005,control,2026-01-13,7,0,,2
C-00006,control,2026-01-26,20,1,1.0,10
C-00007,control,2026-01-12,6,0,,6
C-00008,control,2026-01-31,25,0,,4
C-00009,control,2026-01-24,18,0,,5
C-00010,control,2026-01-28,22,1,1.0,8
C-00011,control,2026-01-16,10,0,,4
C-00012,control,2026-01-16,10,1,12.0,11
C-00013,control,2026-01-29,23,1,2.0,11
C-00014,control,2026-01-26,20,0,,6
C-00015,control,2026-01-09,3,0,,2
C-00016,control,2026-01-13,7,0,,2
C-00017,control,2026-01-29,23,0,,4
C-00018,control,2026-01-08,2,1,9.0,8
C-00019,control,2026-01-27,21,1,3.0,6
C-00020,control,2026-01-26,20,0,,4
C-00021,control,2026-01-07,1,0,,2
C-00022,control,2026-01-29,23,0,,4
C-00023,control,2026-01-17,11,0,,2
C-00024,control,2026-01-11,5,0,,3
C-00025,control,2026-01-07,1,0,,1
C-00026,control,2026-02-02,27,0,,2
C-00027,control,2026-01-26,20,0,,3
C-00028,control,2026-01-06,0,0,,4
C-00029,control,2026-01-17,11,0,,2
C-00030,control,2026-01-31,25,0,,2
C-00031,control,2026-01-27,21,1,16.0,12
C-00032,control,2026-01-17,11,0,,5
C-00033,control,2026-01-30,24,1,1.0,9
C-00034,control,2026-01-22,16,1,2.0,9
C-00035,control,2026-02-01,26,0,,2
C-00036,control,2026-02-01,26,1,1.0,10
C-00037,control,2026-01-15,9,0,,3
C-00038,control,2026-02-02,27,0,,2
C-00039,control,2026-02-02,27,0,,1
C-00040,control,2026-01-21,15,0,,2
C-00041,control,2026-01-20,14,0,,2
C-00042,control,2026-01-20,14,0,,2
C-00043,control,2026-01-24,18,0,,3
C-00044,control,2026-01-17,11,0,,7
C-00045,control,2026-01-28,22,0,,3
C-00046,control,2026-01-25,19,1,4.0,5
C-00047,control,2026-01-30,24,0,,3
C-00048,control,2026-01-08,2,0,,6
C-00049,control,2026-01-10,4,1,2.0,13
C-00050,control,2026-01-24,18,0,,2
C-00051,control,2026-01-12,6,0,,4
C-00052,control,2026-01-26,20,0,,4
C-00053,control,2026-01-14,8,0,,2
C-00054,control,2026-01-12,6,1,2.0,11
C-00055,control,2026-01-23,17,0,,2
C-00056,control,2026-01-09,3,1,1.0,11
C-00057,control,2026-01-30,24,0,,3
C-00058,control,2026-02-02,27,0,,3
C-00059,control,2026-01-19,13,0,,2
C-00060,control,2026-01-23,17,0,,3
C-00061,control,2026-01-31,25,0,,2
C-00062,control,2026-01-14,8,1,6.0,14
C-00063,control,2026-01-31,25,1,1.0,9
C-00064,control,2026-01-26,20,0,,2
C-00065,control,2026-01-07,1,1,1.0,9
C-00066,control,2026-01-25,19,1,8.0,13
C-00067,control,2026-02-02,27,0,,3
C-00068,control,2026-01-20,14,0,,2
C-00069,control,2026-02-02,27,0,,6
C-00070,control,2026-01-12,6,0,,4
C-00071,control,2026-01-17,11,0,,3
C-00072,control,2026-01-13,7,0,,2
C-00073,control,2026-01-20,14,1,3.0,8
C-00074,control,2026-01-08,2,0,,3
C-00075,control,2026-01-19,13,0,,1
C-00076,control,2026-01-22,16,1,2.0,15
C-00077,control,2026-01-09,3,1,2.0,13
C-00078,control,2026-01-23,17,0,,4
C-00079,control,2026-01-13,7,1,5.0,7
C-00080,control,2026-01-09,3,0,,2
C-00081,control,2026-01-07,1,0,,3
C-00082,control,2026-01-11,5,0,,5
C-00083,control,2026-01-27,21,0,,5
C-00084,control,2026-01-15,9,0,,4
C-00085,control,2026-01-09,3,0,,1
C-00086,control,2026-01-27,21,0,,1
C-00087,control,2026-01-23,17,0,,2
C-00088,control,2026-01-31,25,0,,1
C-00089,control,2026-01-17,11,1,7.0,11
C-00090,control,2026-01-07,1,0,,2
C-00091,control,2026-01-15,9,0,,4
C-00092,control,2026-01-09,3,0,,1
C-00093,control,2026-01-19,13,0,,3
C-00094,control,2026-01-21,15,0,,3
C-00095,control,2026-01-20,14,1,1.0,7
C-00096,control,2026-01-13,7,0,,2
C-00097,control,2026-01-19,13,0,,2
C-00098,control,2026-01-28,22,1,3.0,10
C-00099,control,2026-02-02,27,0,,2
C-00100,control,2026-01-30,24,0,,3
C-00101,control,2026-01-13,7,0,,4
C-00102,control,2026-01-26,20,0,,4
C-00103,control,2026-01-21,15,0,,1
C-00104,control,2026-01-18,12,0,,4
C-00105,control,2026-01-23,17,0,,4
C-00106,control,2026-01-20,14,1,1.0,15
C-00107,control,2026-01-26,20,1,3.0,18
C-00108,control,2026-01-29,23,1,3.0,6
C-00109,control,2026-01-31,25,0,,1
C-00110,control,2026-01-30,24,0,,4
C-00111,control,2026-02-02,27,0,,1
C-00112,control,2026-02-02,27,0,,4
C-00113,control,2026-02-02,27,0,,3
C-00114,control,2026-01-18,12,0,,5
C-00115,control,2026-01-14,8,0,,3
C-00116,control,2026-01-20,14,1,3.0,11
C-00117,control,2026-01-18,12,0,,5
C-00118,control,2026-01-06,0,0,,4
C-00119,control,2026-01-30,24,0,,2
C-00120,control,2026-01-12,6,1,1.0,6
C-00121,control,2026-01-14,8,0,,3
C-00122,control,2026-01-29,23,1,2.0,11
C-00123,control,2026-01-06,0,0,,2
C-00124,control,2026-01-17,11,0,,4
C-00125,control,2026-01-13,7,0,,4
C-00126,control,2026-01-29,23,1,5.0,11
C-00127,control,2026-01-16,10,0,,1
C-00128,control,2026-01-24,18,0,,3
C-00129,control,2026-01-22,16,0,,4
C-00130,control,2026-01-13,7,0,,2
C-00131,control,2026-01-08,2,0,,1
C-00132,control,2026-01-08,2,0,,1
C-00133,control,2026-01-06,0,0,,4
C-00134,control,2026-02-01,26,0,,2
C-00135,control,2026-01-10,4,0,,2
C-00136,control,2026-01-15,9,0,,3
C-00137,control,2026-01-12,6,0,,3
C-00138,control,2026-01-31,25,1,16.0,6
C-00139,control,2026-01-14,8,0,,7
C-00140,control,2026-02-02,27,0,,2
C-00141,control,2026-01-12,6,1,1.0,12
C-00142,control,2026-01-14,8,0,,2
C-00143,control,2026-01-13,7,1,4.0,16
C-00144,control,2026-01-17,11,0,,2
C-00145,control,2026-01-07,1,1,18.0,14
C-00146,control,2026-01-06,0,0,,3
C-00147,control,2026-01-21,15,0,,3
C-00148,control,2026-01-28,22,0,,2
C-00149,control,2026-01-28,22,1,16.0,9
C-00150,control,2026-01-29,23,1,1.0,6
C-00151,control,2026-01-10,4,0,,3
C-00152,control,2026-01-08,2,0,,3
C-00153,control,2026-01-17,11,1,1.0,17
C-00154,control,2026-01-13,7,0,,3
C-00155,control,2026-01-27,21,1,1.0,10
C-00156,control,2026-02-01,26,1,1.0,14
C-00157,control,2026-01-08,2,0,,4
C-00158,control,2026-01-06,0,0,,6
C-00159,control,2026-01-08,2,0,,2
C-00160,control,2026-01-10,4,0,,2
C-00161,control,2026-01-20,14,1,4.0,10
C-00162,control,2026-01-19,13,0,,2
C-00163,control,2026-01-08,2,1,8.0,9
C-00164,control,2026-01-06,0,0,,2
C-00165,control,2026-01-10,4,1,20.0,11
C-00166,control,2026-01-31,25,0,,4
C-00167,control,2026-01-28,22,0,,2
C-00168,control,2026-01-19,13,0,,2
